ISIN,COMPANY,NSE_SYMBOL,BSE_SYMBOL,BSE_CODE,EXCHANGE,PRICE_SOURCE,PRICE_TICKER,LATEST_PRICE,PRICE_DATE,NSE_LISTING_DATE,BSE_LISTING_DATE
0,,,ADSDIAG,523031,BSE,BSE/Yahoo Finance,523031.BO,,,,
IN90NN701011,,,ATLPP,890228,BSE,BSE/Yahoo Finance,890228.BO,,,,
IN90PTR01010,,,ROCKPP,215348,BSE,BSE/Yahoo Finance,215348.BO,,,,
IN9161F01019,,,ANIRITPP,890231,BSE,BSE/Yahoo Finance,890231.BO,,,,
IN9170U01035,,,SURAJINDPP,890226,BSE,BSE/Yahoo Finance,890226.BO,,,,
IN9273A01047,,,APLABPP,890217,BSE,BSE/Yahoo Finance,890217.BO,,,,
IN9316D01014,,,VERTEXPP,890234,BSE,BSE/Yahoo Finance,890234.BO,,,,
IN9572J01019,,,SSFLPP,890221,BSE,BSE/Yahoo Finance,890221.BO,,,,
IN9736H01014,,,GSAILPP,890238,BSE,BSE/Yahoo Finance,890238.BO,,,,
IN9849B01026,,,ACESEPP,890230,BSE,BSE/Yahoo Finance,890230.BO,,,,
INE001F01019,,,MDRNSTL,513303,BSE,BSE/Yahoo Finance,513303.BO,,,,
INE001O01029,,,RISAINTL,530251,BSE,BSE/Yahoo Finance,530251.BO,,,,
INE002B01016,,,MADALA,532344,BSE,BSE/Yahoo Finance,532344.BO,,,,
INE002E01010,,,SAPL,538992,BSE,BSE/Yahoo Finance,538992.BO,,,,
INE003B01014,,,INTSTOIL,530259,BSE,BSE/Yahoo Finance,530259.BO,,,,
INE003F01015,,,MULLER,501477,BSE,BSE/Yahoo Finance,501477.BO,,,,
INE004C01028,,,GUJCOTEX,514386,BSE,BSE/Yahoo Finance,514386.BO,,,,
INE004E01016,,,SDL,524727,BSE,BSE/Yahoo Finance,524727.BO,,,,
INE004Z01011,,,MACH,541973,BSE,BSE/Yahoo Finance,541973.BO,,,,
INE005C01017,,,RTSPOWR,531215,BSE,BSE/Yahoo Finance,531215.BO,,,,
INE005E01013,,,EKANSH,531364,BSE,BSE/Yahoo Finance,531364.BO,,,,
INE005G01026,,,DEEPAI,539559,BSE,BSE/Yahoo Finance,539559.BO,,,,
INE006C01015,,,KZLFIN,511728,BSE,BSE/Yahoo Finance,511728.BO,,,,
INE006F01018,,,NBFOOT,523242,BSE,BSE/Yahoo Finance,523242.BO,,,,
INE007C01021,,,INDRANIB,526445,BSE,BSE/Yahoo Finance,526445.BO,,,,
INE007G01014,,,MHSGRMS,526795,BSE,BSE/Yahoo Finance,526795.BO,,,,
INE008B01013,,,AIMCOPEST,524288,BSE,BSE/Yahoo Finance,524288.BO,,,,
INE008C01011,,,RAYALEMA,526640,BSE,BSE/Yahoo Finance,526640.BO,,,,
INE008N01018,,,TIRTPLS,526675,BSE,BSE/Yahoo Finance,526675.BO,,,,
INE008Z01020,,,SRPL,210337,BSE,BSE/Yahoo Finance,210337.BO,,,,
INE009C01019,,,SRIKPRIND,514442,BSE,BSE/Yahoo Finance,514442.BO,,,,
INE009U01011,,,GHUSHINE,539864,BSE,BSE/Yahoo Finance,539864.BO,,,,
INE00C401011,,,MAL$,210659,BSE,BSE/Yahoo Finance,210659.BO,,,,
INE00C501018,,,AMBANIORGO,201064,BSE,BSE/Yahoo Finance,201064.BO,,,,
INE00CX01017,,,MAHIP,542503,BSE,BSE/Yahoo Finance,542503.BO,,,,
INE00D001018,,,REXPIPES,208145,BSE,BSE/Yahoo Finance,208145.BO,,,,
INE00ER01015,,,ONDOOR,210749,BSE,BSE/Yahoo Finance,210749.BO,,,,
INE00F301010,,,UWCSL,200766,BSE,BSE/Yahoo Finance,200766.BO,,,,
INE00FM01013,,,BAPACK,523186,BSE,BSE/Yahoo Finance,523186.BO,,,,
INE00GK01023,,,YASHHV,544310,BSE,BSE/Yahoo Finance,544310.BO,,,,
INE00IY01012,,,DEEP,541778,BSE,BSE/Yahoo Finance,541778.BO,,,,
INE00MT01022,,,SAJHOTELS,212075,BSE,BSE/Yahoo Finance,212075.BO,,,,
INE00N401018,,,JAKHARIA,205786,BSE,BSE/Yahoo Finance,205786.BO,,,,
INE00NH01017,,,CLSL,210567,BSE,BSE/Yahoo Finance,210567.BO,,,,
INE00NI01015,,,UCL,201277,BSE,BSE/Yahoo Finance,201277.BO,,,,
INE00Q901014,,,SMGOLD,542034,BSE,BSE/Yahoo Finance,542034.BO,,,,
INE00RQ01019,,,MINDPOOL,205653,BSE,BSE/Yahoo Finance,205653.BO,,,,
INE00ST01011,,,BRGIL,544335,BSE,BSE/Yahoo Finance,544335.BO,,,,
INE00SY01011,,,SUPERSHAKT,541701,BSE,BSE/Yahoo Finance,541701.BO,,,,
INE00TV01023,,,SUDARSHAN,543828,BSE,BSE/Yahoo Finance,543828.BO,,,,
INE00U801010,,,PARIN,205337,BSE,BSE/Yahoo Finance,205337.BO,,,,
INE00UG01014,,,KHFM,202216,BSE,BSE/Yahoo Finance,202216.BO,,,,
INE00WS01056,,,GSTL$,208776,BSE,BSE/Yahoo Finance,208776.BO,,,,
INE00WY01013,,,RACONTEUR,541703,BSE,BSE/Yahoo Finance,541703.BO,,,,
INE00Y701026,,,SECL,210309,BSE,BSE/Yahoo Finance,210309.BO,,,,
INE010C01025,,,SWISSMLTRY,523558,BSE,BSE/Yahoo Finance,523558.BO,,,,
INE010R01023,,,ULTRACAB,538706,BSE,BSE/Yahoo Finance,538706.BO,,,,
INE011B01017,,,CLIOINFO,530839,BSE,BSE/Yahoo Finance,530839.BO,,,,
INE011D01013,,,SHERVANI,526117,BSE,BSE/Yahoo Finance,526117.BO,,,,
INE011H01014,,,RAJVIR,532665,BSE,BSE/Yahoo Finance,532665.BO,,,,
INE011R01013,,,ATISHAY,538713,BSE,BSE/Yahoo Finance,538713.BO,,,,
INE012E01035,,,DIANATEA,530959,BSE,BSE/Yahoo Finance,530959.BO,,,,
INE012F01016,,,POLYTEX,512481,BSE,BSE/Yahoo Finance,512481.BO,,,,
INE013E01017,,,PANCARBON,508941,BSE,BSE/Yahoo Finance,508941.BO,,,,
INE013J01016,,,KVFORGE,513369,BSE,BSE/Yahoo Finance,513369.BO,,,,
INE013V01011,,,SHELTER,543963,BSE,BSE/Yahoo Finance,543963.BO,,,,
INE014E01015,,,KLRFM,507598,BSE,BSE/Yahoo Finance,507598.BO,,,,
INE015E01012,,,PARAGONF,531255,BSE,BSE/Yahoo Finance,531255.BO,,,,
INE015F01019,,,RSCINT,530179,BSE,BSE/Yahoo Finance,530179.BO,,,,
INE016C01014,,,RAJINFRA,526823,BSE,BSE/Yahoo Finance,526823.BO,,,,
INE016X01010,,,ARYAN,542176,BSE,BSE/Yahoo Finance,542176.BO,,,,
INE017C01012,,,KISAN,530145,BSE,BSE/Yahoo Finance,530145.BO,,,,
INE017E01018,,,INTECCAP,526871,BSE,BSE/Yahoo Finance,526871.BO,,,,
INE017I01027,,,SERA,512399,BSE,BSE/Yahoo Finance,512399.BO,,,,
INE017P01014,,,ZMULTIPU,504356,BSE,BSE/Yahoo Finance,504356.BO,,,,
INE018S01016,,,RFLL,543256,BSE,BSE/Yahoo Finance,543256.BO,,,,
INE019B01010,,,TRANSCHEM,500422,BSE,BSE/Yahoo Finance,500422.BO,,,,
INE019D01016,,,MAHAVEER,539383,BSE,BSE/Yahoo Finance,539383.BO,,,,
INE01A501027,,,RANJEET,541945,BSE,BSE/Yahoo Finance,541945.BO,,,,
INE01B501018,,,ASRL,541865,BSE,BSE/Yahoo Finance,541865.BO,,,,
INE01BL01012,,,NSL,542628,BSE,BSE/Yahoo Finance,542628.BO,,,,
INE01BT01015,,,MACIND,543934,BSE,BSE/Yahoo Finance,543934.BO,,,,
INE01GR01018,,,DGL,542155,BSE,BSE/Yahoo Finance,542155.BO,,,,
INE01GZ01011,,,CHANDNIMACH,542627,BSE,BSE/Yahoo Finance,542627.BO,,,,
INE01IH01015,,,SYLVANPLY,211713,BSE,BSE/Yahoo Finance,211713.BO,,,,
INE01J501010,,,SHUBHAM,542019,BSE,BSE/Yahoo Finance,542019.BO,,,,
INE01K301012,,,HARISH,542682,BSE,BSE/Yahoo Finance,542682.BO,,,,
INE01MO01013,,,MAHESH,542677,BSE,BSE/Yahoo Finance,542677.BO,,,,
INE01TL01014,,,BOMOXY-B1,509470,BSE,BSE/Yahoo Finance,509470.BO,,,,
INE01YQ01013,,,AUSL,211974,BSE,BSE/Yahoo Finance,211974.BO,,,,
INE01Z401013,,,SHUBHLAXMI,201806,BSE,BSE/Yahoo Finance,201806.BO,,,,
INE01ZJ01015,,,SURANI,200566,BSE,BSE/Yahoo Finance,200566.BO,,,,
INE020S01012,,,GALXBRG,526073,BSE,BSE/Yahoo Finance,526073.BO,,,,
INE021N01011,,,ARIGATO,530267,BSE,BSE/Yahoo Finance,530267.BO,,,,
INE022F01015,,,SHAMROIN,531240,BSE,BSE/Yahoo Finance,531240.BO,,,,
INE023R01018,,,ACEMEN,539661,BSE,BSE/Yahoo Finance,539661.BO,,,,
INE024B01010,,,JOINDRE,531861,BSE,BSE/Yahoo Finance,531861.BO,,,,
INE025D01013,,,HEERAISP,526967,BSE,BSE/Yahoo Finance,526967.BO,,,,
INE026C01013,,,NDASEC,511535,BSE,BSE/Yahoo Finance,511535.BO,,,,
INE026D01011,,,LOTUSCHO,523475,BSE,BSE/Yahoo Finance,523475.BO,,,,
INE026I01010,,,BHAGWOX,509449,BSE,BSE/Yahoo Finance,509449.BO,,,,
INE026L01022,,,TILAK,503663,BSE,BSE/Yahoo Finance,503663.BO,,,,
INE027D01019,,,NETTLINX,511658,BSE,BSE/Yahoo Finance,511658.BO,,,,
INE027F01014,,,CMXLTD,532217,BSE,BSE/Yahoo Finance,532217.BO,,,,
INE027S01017,,,TFLL,539488,BSE,BSE/Yahoo Finance,539488.BO,,,,
INE029B01019,,,COSYN,538922,BSE,BSE/Yahoo Finance,538922.BO,,,,
INE029H01016,,,SUJALA,539117,BSE,BSE/Yahoo Finance,539117.BO,,,,
INE029Q01017,,,BAHETI,209291,BSE,BSE/Yahoo Finance,209291.BO,,,,
INE02AP01013,,,RONI,542145,BSE,BSE/Yahoo Finance,542145.BO,,,,
INE02BR01017,,,CLASELE,512213,BSE,BSE/Yahoo Finance,512213.BO,,,,
INE02BV01019,,,SHIKHARLETR,507952,BSE,BSE/Yahoo Finance,507952.BO,,,,
INE02C301011,,,SHAHCON,509870,BSE,BSE/Yahoo Finance,509870.BO,,,,
INE02CV01017,,,DRSDILIP,202144,BSE,BSE/Yahoo Finance,202144.BO,,,,
INE02EE01019,,,IPSL,209236,BSE,BSE/Yahoo Finance,209236.BO,,,,
INE02GA01012,,,ARL,542721,BSE,BSE/Yahoo Finance,542721.BO,,,,
INE02KC01010,,,JAINAM,208299,BSE,BSE/Yahoo Finance,208299.BO,,,,
INE02OY01016,,,RILINFRA,208791,BSE,BSE/Yahoo Finance,208791.BO,,,,
INE02PC01027,,,HBEL,542592,BSE,BSE/Yahoo Finance,542592.BO,,,,
INE02S501018,,,SHREEOSFM,210924,BSE,BSE/Yahoo Finance,210924.BO,,,,
INE02XD01011,,,HINDAPL,531918,BSE,BSE/Yahoo Finance,531918.BO,,,,
INE02Z901011,,,SHVSUIT,521003,BSE,BSE/Yahoo Finance,521003.BO,,,,
INE02ZA01012,,,SFTL,501479,BSE,BSE/Yahoo Finance,501479.BO,,,,
INE030C01015,,,ANSALBU,523007,BSE,BSE/Yahoo Finance,523007.BO,,,,
